First_1_Dig,Counts,Found,Expected
1,10.0,0.4166666666666667,0.3010299956639812
2,2.0,0.08333333333333333,0.17609125905568124
3,1.0,0.041666666666666664,0.12493873660829993
4,3.0,0.125,0.09691001300805642
5,2.0,0.08333333333333333,0.07918124604762482
6,0.0,0.0,0.06694678963061322
7,5.0,0.20833333333333334,0.05799194697768673
8,1.0,0.041666666666666664,0.05115252244738129
9,0.0,0.0,0.04575749056067514
