Counts,Found,Expected
5735,0.2940573245141773,0.3010299956639812
3540,0.18151053684048607,0.17609125905568124
2341,0.12003281546428754,0.12493873660829993
1847,0.09470337896733835,0.09691001300805642
1559,0.07993642003794288,0.07918124604762482
1370,0.0702456032405271,0.06694678963061322
1166,0.05978567399887197,0.05799194697768673
1042,0.053427677793160024,0.05115252244738129
903,0.046300569143208736,0.04575749056067514
